date,stock_code,stock_name,pattern_type,action,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,hot_resonance,resonance_sectors,stop_loss_triggered,take_profit_triggered,entry_date,exit_reason,plan_rank,plan_score,plan_reason,factor_metrics_json
20260623,603993,洛阳钼业,指标筛选/default,SELL,19.528979999999997,19.45102,11000,-1200.155219999957,-0.00558515080206457,5,False,,False,True,20260615,trailing_stop,1,94.7333,综合评分 94.7，候选排名第 1；当日涨幅 +10.02%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.97/1.81 倍；流动性分位 99.1，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.11103047895502, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260623,600601,方正科技,指标筛选/default,SELL,12.9258,13.40314,16700,7615.837572599994,0.035270653079710834,5,False,,False,True,20260615,trailing_stop,3,94.3615,综合评分 94.4，候选排名第 3；当日涨幅 +9.98%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.11/2.04 倍；流动性分位 97.9，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.9499274310595, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.65885735294118}"
20260623,002384,东山精密,指标筛选/default,SELL,244.488,254.50996,900,8655.975586799992,0.03932653623957964,4,False,,False,True,20260616,trailing_stop,1,94.9728,综合评分 95.0，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.28/1.20 倍；流动性分位 99.9，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.90922294843864, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260623,002436,兴森科技,指标筛选/default,SELL,45.10002,48.403,5000,16132.630470000004,0.07152011077760186,3,False,,False,True,20260617,trailing_stop,1,94.7714,综合评分 94.8，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.49/1.31 倍；流动性分位 99.2，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.23816433883547, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260623,600584,长电科技,指标筛选/default,BUY,92.14392,0.0,2700,0.0,0.0,0,False,,False,False,20260623,buy,1,94.9352,综合评分 94.9，候选排名第 1；当日接近10cm涨停，涨幅 +10.00%；量价活跃，成交额/成交量约为5日均值 1.33/1.17 倍；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.80036297640653, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.69598235294117}"
20260623,600549,厦门钨业,指标筛选/default,BUY,97.0437,0.0,2500,0.0,0.0,0,False,,False,False,20260623,buy,2,94.737,综合评分 94.7，候选排名第 2；当日接近10cm涨停，涨幅 +10.00%；量能未明显放大，成交额/成交量约为5日均值 1.01/0.82 倍；流动性分位 99.1，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.12885662431941, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70258235294118}"
20260623,000657,中钨高新,指标筛选/default,BUY,114.21798,0.0,2100,0.0,0.0,0,False,,False,False,20260623,buy,3,94.6897,综合评分 94.7，候选排名第 3；当日接近10cm涨停，涨幅 +10.00%；量能未明显放大，成交额/成交量约为5日均值 0.85/0.69 倍；流动性分位 99.0，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.9655172413793, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260624,600549,厦门钨业,指标筛选/default,SELL,97.0437,82.86394,2500,-35791.49057999998,-0.14748306733190947,1,False,,True,False,20260623,stop_loss,2,94.737,综合评分 94.7，候选排名第 2；当日接近10cm涨停，涨幅 +10.00%；量能未明显放大，成交额/成交量约为5日均值 1.01/0.82 倍；流动性分位 99.1，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.12885662431941, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70258235294118}"
20260624,000657,中钨高新,指标筛选/default,SELL,114.21798,99.87984,2100,-30454.723290600028,-0.12693185272629753,1,False,,True,False,20260623,stop_loss,3,94.6897,综合评分 94.7，候选排名第 3；当日接近10cm涨停，涨幅 +10.00%；量能未明显放大，成交额/成交量约为5日均值 0.85/0.69 倍；流动性分位 99.0，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.9655172413793, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260625,603986,兆易创新,指标筛选/default,BUY,741.48,0.0,300,0.0,0.0,0,False,,False,False,20260625,buy,1,95.0,综合评分 95.0，候选排名第 1；当日接近10cm涨停，涨幅 +10.00%；量价活跃，成交额/成交量约为5日均值 1.21/1.11 倍；流动性分位 100.0，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 100.0, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
