trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,概念,BK0998.DC,机器视觉,-0.62,1896.09,21296.896,-2.11,-100179344.0,-0.53,-298462976.0,-1.58,162231296.0,0.86,212968960.0,1.13,智立方,12,16223.1296,-29846.2976,7673.727999999999
20260403,概念,BK0477.DC,酿酒概念,-2.26,42226.5,42340.6896,-4.05,-185980064.0,-1.89,-213232080.0,-2.16,-24194752.0,-0.25,423406896.0,4.3,燕京啤酒,13,-2419.4752,-21323.208,18598.0064
20260403,概念,BK1012.DC,PVDF概念,-2.39,1189.16,34522.1376,-5.22,-173969488.0,-2.24,-232097088.0,-2.98,60845200.0,0.78,345221376.0,4.44,东阳光,14,6084.52,-23209.7088,17396.948800000006
20260403,概念,BK0501.DC,次新股,-2.15,26584.57,75268.1168,-2.07,23339600.0,0.11,-444713216.0,-2.18,-685333760.0,-3.37,752681168.0,3.7,摩尔线程-U,15,-68533.376,-44471.3216,-37736.5808
20260403,概念,BK1656.DC,特色药,-2.34,999.64,50352.7696,-3.79,-213930144.0,-1.91,-210810480.0,-1.88,-78787088.0,-0.7,503527696.0,4.49,常山药业,16,-7878.7088,-21081.048,21393.0128
20260403,概念,BK1186.DC,首发经济,-2.49,1065.28,40604.68,-5.18,-257940368.0,-3.1,-173756736.0,-2.09,21797888.0,0.26,406046800.0,4.88,顺网科技,17,2179.7888,-17375.6736,25408.795200000004
20260403,概念,BK1118.DC,数据确权,-3.02,1457.14,34487.0768,-5.56,-167581264.0,-2.14,-267445264.0,-3.42,90155760.0,1.15,344870768.0,4.41,顺网科技,18,9015.576,-26744.5264,16758.126400000005
20260403,概念,BK1086.DC,粮食概念,-4.04,783.12,32149.3824,-8.02,-211329744.0,-3.78,-237292064.0,-4.24,107721232.0,1.93,321493824.0,5.75,物产中大,19,10772.1232,-23729.2064,19192.299199999998
20260403,概念,BK1645.DC,昨日打二板以上表现,1.26,1639.45,25381.3632,-7.37,-327028192.0,-5.37,-121840672.0,-2.0,195055232.0,3.2,253813632.0,4.16,津药药业,20,19505.5232,-12184.0672,32702.819200000005
20260403,概念,BK0729.DC,船舶制造,-1.95,1255.89,40120.616,-10.67,-241923008.0,-5.58,-220396352.0,-5.08,61113184.0,1.41,401206160.0,9.26,中国动力,21,6111.3184,-22039.6352,24192.299199999998
