trade_date,index_code,index_name,open,high,low,close,pre_close,pct_chg,vol_hand,amount_yuan,source,as_of_date,ingested_at
20260205,399001.SZ,,14020.8394,14074.3569,13874.0175,13952.7119,14156.2738,-1.438,726225380.0,1229230628000.0,index_daily,20260618,2026-06-18T17:50:41
20260206,399001.SZ,,13801.0314,14065.7768,13726.8594,13906.7345,13952.7119,-0.3295,730349548.0,1247064306600.0,index_daily,20260618,2026-06-18T17:50:41
20260209,399001.SZ,,14115.1407,14211.7039,14060.6674,14208.4359,13906.7345,2.1695,726369601.0,1299746938000.0,index_daily,20260618,2026-06-18T17:50:41
20260210,399001.SZ,,14200.7561,14258.5145,14165.429,14210.6261,14208.4359,0.0154,733002884.0,1223333554500.0,index_daily,20260618,2026-06-18T17:50:41
20260211,399001.SZ,,14186.6537,14250.3368,14156.1636,14160.9336,14210.6261,-0.3497,681933201.0,1161644815700.0,index_daily,20260618,2026-06-18T17:50:41
20260212,399001.SZ,,14177.967,14296.4803,14177.2868,14282.9983,14160.9336,0.862,696259702.0,1243783316700.0,index_daily,20260618,2026-06-18T17:50:41
20260213,399001.SZ,,14188.3464,14258.8259,14092.8401,14100.1897,14282.9983,-1.2799,640639616.0,1135871601100.0,index_daily,20260618,2026-06-18T17:50:41
20260224,399001.SZ,,14313.8625,14376.957,14214.4146,14291.5657,14100.1897,1.3573,712425989.0,1263450465500.0,index_daily,20260618,2026-06-18T17:50:41
20260225,399001.SZ,,14322.2424,14512.845,14314.1528,14475.8653,14291.5657,1.2896,793688511.0,1376578234800.0,index_daily,20260618,2026-06-18T17:50:41
20260226,399001.SZ,,14495.858,14536.076,14408.8754,14503.7865,14475.8653,0.1929,793134075.0,1471247125500.0,index_daily,20260618,2026-06-18T17:50:41
20260227,399001.SZ,,14375.2502,14497.9569,14366.3499,14495.0923,14503.7865,-0.0599,781109596.0,1415655679900.0,index_daily,20260618,2026-06-18T17:50:41
20260302,399001.SZ,,14327.6501,14509.6898,14285.6668,14465.7884,14495.0923,-0.2022,933794647.0,1674826283500.0,index_daily,20260618,2026-06-18T17:50:41
20260303,399001.SZ,,14498.6981,14526.0564,14007.6484,14022.3914,14465.7884,-3.0651,970658944.0,1703720230900.0,index_daily,20260618,2026-06-18T17:50:41
20260304,399001.SZ,,13854.3743,14112.0206,13854.3743,13917.752,14022.3914,-0.7462,740464018.0,1252671984600.0,index_daily,20260618,2026-06-18T17:50:41
20260305,399001.SZ,,14160.1984,14202.7615,13999.7021,14088.8384,13917.752,1.2293,758966477.0,1321994082000.0,index_daily,20260618,2026-06-18T17:50:41
20260306,399001.SZ,,14015.5432,14212.8434,13969.341,14172.6271,14088.8384,0.5947,729278913.0,1221343285200.0,index_daily,20260618,2026-06-18T17:50:41
20260309,399001.SZ,,13920.2864,14103.6306,13701.6701,14067.5025,14172.6271,-0.7417,837345656.0,1453438641300.0,index_daily,20260618,2026-06-18T17:50:41
20260310,399001.SZ,,14239.301,14357.8183,14239.301,14354.0736,14067.5025,2.0371,736222902.0,1361460406100.0,index_daily,20260618,2026-06-18T17:50:41
20260311,399001.SZ,,14373.7396,14531.0232,14373.0104,14465.4098,14354.0736,0.7756,770973776.0,1444776810500.0,index_daily,20260618,2026-06-18T17:50:41
20260312,399001.SZ,,14457.6314,14478.0462,14245.7694,14374.8711,14465.4098,-0.6259,768805142.0,1363682636800.0,index_daily,20260618,2026-06-18T17:50:41
20260313,399001.SZ,,14300.9245,14454.3066,14245.9586,14280.7798,14374.8711,-0.6546,774225691.0,1336399029900.0,index_daily,20260618,2026-06-18T17:50:41
20260316,399001.SZ,,14291.1492,14320.0955,14097.8154,14307.5773,14280.7798,0.1876,753016185.0,1288107044400.0,index_daily,20260618,2026-06-18T17:50:41
20260317,399001.SZ,,14370.4462,14400.3551,14039.5015,14039.7303,14307.5773,-1.8721,753197037.0,1256632860400.0,index_daily,20260618,2026-06-18T17:50:41
20260318,399001.SZ,,14108.9214,14203.9146,13944.3709,14187.7963,14039.7303,1.0546,666055598.0,1169736139400.0,index_daily,20260618,2026-06-18T17:50:41
20260319,399001.SZ,,14003.6982,14098.6916,13852.5958,13901.5678,14187.7963,-2.0174,679341017.0,1175704077700.0,index_daily,20260618,2026-06-18T17:50:41
20260320,399001.SZ,,14021.4557,14144.9896,13856.4876,13866.2022,13901.5678,-0.2544,732934604.0,1321947502000.0,index_daily,20260618,2026-06-18T17:50:41
20260323,399001.SZ,,13619.9444,13758.9743,13274.1767,13345.5138,13866.2022,-3.7551,851584549.0,1345269862200.0,index_daily,20260618,2026-06-18T17:50:41
20260324,399001.SZ,,13514.6696,13536.5556,13169.2513,13536.5556,13345.5138,1.4315,730716233.0,1151421880400.0,index_daily,20260618,2026-06-18T17:50:41
20260325,399001.SZ,,13669.0523,13835.031,13666.842,13801.0008,13536.5556,1.9536,722888829.0,1211952310200.0,index_daily,20260618,2026-06-18T17:50:41
20260326,399001.SZ,,13756.87,13853.0962,13573.1205,13606.4432,13801.0008,-1.4097,666668034.0,1095241403200.0,index_daily,20260618,2026-06-18T17:50:41
20260327,399001.SZ,,13423.5125,13842.397,13419.3108,13760.369,13606.4432,1.1313,630253838.0,1053565323000.0,index_daily,20260618,2026-06-18T17:50:41
20260330,399001.SZ,,13618.7935,13748.2073,13536.5611,13726.1905,13760.369,-0.2484,653068732.0,1076058863000.0,index_daily,20260618,2026-06-18T17:50:41
20260331,399001.SZ,,13683.6809,13783.9673,13478.0554,13478.0554,13726.1905,-1.8077,662397086.0,1100598073900.0,index_daily,20260618,2026-06-18T17:50:41
20260401,399001.SZ,,13731.3871,13740.9745,13603.7852,13706.5199,13478.0554,1.6951,654130259.0,1115173056500.0,index_daily,20260618,2026-06-18T17:50:41
20260402,399001.SZ,,13658.2548,13680.6305,13418.4985,13486.9362,13706.5199,-1.602,634893739.0,1031053910700.0,index_daily,20260618,2026-06-18T17:50:41
20260403,399001.SZ,,13553.6533,13558.9095,13345.6104,13352.9043,13486.9362,-0.9938,585384622.0,942636328000.0,index_daily,20260618,2026-06-18T17:50:41
20260407,399001.SZ,,13392.9421,13476.0788,13305.5071,13400.412,13352.9043,0.3558,539436566.0,890452406600.0,index_daily,20260618,2026-06-18T17:50:41
20260408,399001.SZ,,13717.2209,14042.4964,13694.9102,14042.4964,13400.412,4.7915,747383211.0,1360286670500.0,index_daily,20260618,2026-06-18T17:50:41
20260409,399001.SZ,,13928.4277,14058.0524,13891.4783,13996.2652,14042.4964,-0.3292,651836809.0,1231564810600.0,index_daily,20260618,2026-06-18T17:50:41
20260410,399001.SZ,,14098.0161,14382.6103,14095.8821,14309.4718,13996.2652,2.2378,667510977.0,1367174715600.0,index_daily,20260618,2026-06-18T17:50:41
20260413,399001.SZ,,14233.1117,14440.2644,14233.1117,14407.8639,14309.4718,0.6876,623158450.0,1230918333900.0,index_daily,20260618,2026-06-18T17:50:41
20260414,399001.SZ,,14514.6879,14640.7688,14463.93,14639.9522,14407.8639,1.6108,682742263.0,1385270907000.0,index_daily,20260618,2026-06-18T17:50:41
20260415,399001.SZ,,14736.009,14738.5332,14440.2092,14498.4546,14639.9522,-0.9665,696928706.0,1386380508800.0,index_daily,20260618,2026-06-18T17:50:41
20260416,399001.SZ,,14546.3529,14807.1617,14522.8604,14796.3345,14498.4546,2.0546,685987412.0,1365112582900.0,index_daily,20260618,2026-06-18T17:50:41
20260417,399001.SZ,,14806.2803,14916.3921,14787.8697,14885.4159,14796.3345,0.6021,695518139.0,1412052739800.0,index_daily,20260618,2026-06-18T17:50:41
20260420,399001.SZ,,14870.8999,15006.9171,14845.9701,14966.7468,14885.4159,0.5464,722821807.0,1494179275000.0,index_daily,20260618,2026-06-18T17:50:41
20260421,399001.SZ,,14920.3838,15017.7505,14774.0764,14982.1397,14966.7468,0.1028,700370425.0,1375174879200.0,index_daily,20260618,2026-06-18T17:50:41
20260422,399001.SZ,,14897.9633,15182.8216,14897.9633,15177.2862,14982.1397,1.3025,698955593.0,1466159216500.0,index_daily,20260618,2026-06-18T17:50:41
